medcodeid	originalreadcode	term	snomedctconceptid	alzdem
21256010	E001	Presenile dementia	12348006	Alzhimer's and dementia''
26545010	E00-1	Senile dementia	15662003	Alzhimer's and dementia''
251625013	1461	H/O: dementia	161465002	Alzhimer's and dementia''
294635013	E000	Uncomplicated senile dementia	191449005	Alzhimer's and dementia''
294637017	E0010	Uncomplicated presenile dementia	191451009	Alzhimer's and dementia''
294638010	E0011	Presenile dementia with delirium	191452002	Alzhimer's and dementia''
294641018	E0012	Presenile dementia with paranoia	191454001	Alzhimer's and dementia''
294642013	E0013	Presenile dementia with depression	191455000	Alzhimer's and dementia''
294643015	E001z	Presenile dementia NOS	12348006	Alzhimer's and dementia''
294644014	E002	Senile dementia with depressive or paranoid features	191457008	Alzhimer's and dementia''
294645010	E0020	Senile dementia with paranoia	191458003	Alzhimer's and dementia''
294646011	E0021	Senile dementia with depression	191459006	Alzhimer's and dementia''
294647019	E002z	Senile dementia with depressive or paranoid features NOS	191457008	Alzhimer's and dementia''
294648012	E003	Senile dementia with delirium	191461002	Alzhimer's and dementia''
294652012	E0040	Uncomplicated arteriosclerotic dementia	191463004	Alzhimer's and dementia''
294653019	E0041	Arteriosclerotic dementia with delirium	191464005	Alzhimer's and dementia''
294654013	E0042	Arteriosclerotic dementia with paranoia	191465006	Alzhimer's and dementia''
294655014	E0043	Arteriosclerotic dementia with depression	191466007	Alzhimer's and dementia''
294656010	E004z	Arteriosclerotic dementia NOS	56267009	Alzhimer's and dementia''
294688019	E02y1	Drug-induced dementia	191493005	Alzhimer's and dementia''
294718018	E041	Dementia in conditions EC	191519005	Alzhimer's and dementia''
295668011	Eu00	[X]Dementia in Alzheimer's disease	26929004	Alzhimer's and dementia''
295671015	Eu002	[X]Dementia in Alzheimer's dis, atypical or mixed type	26929004	Alzhimer's and dementia''
295672010	Eu00z	[X]Dementia in Alzheimer's disease, unspecified	26929004	Alzhimer's and dementia''
295680015	Eu01y	[X]Other vascular dementia	429998004	Alzhimer's and dementia''
295681016	Eu01z	[X]Vascular dementia, unspecified	429998004	Alzhimer's and dementia''
295684012	Eu02	Dementia associated with another disease	191519005	Alzhimer's and dementia''
295685013	Eu020	Dementia due to Pick's disease	21921000119103	Alzhimer's and dementia''
295686014	Eu021	Dementia due to Creutzfeldt Jakob disease	429458009	Alzhimer's and dementia''
295687017	Eu022	Dementia due to Huntington chorea	442344002	Alzhimer's and dementia''
295688010	Eu023	Dementia in Parkinsons disease	425390006	Alzhimer's and dementia''
295690011	Eu02y	[X]Dementia in other specified diseases classif elsewhere	191519005	Alzhimer's and dementia''
295713019	Eu040	[X]Delirium not superimposed on dementia, so described	2776000	Alzhimer's and dementia''
295714013	Eu041	[X]Delirium superimposed on dementia	2776000	Alzhimer's and dementia''
346929012	E012-1	Alcoholic dementia	281004	Alzhimer's and dementia''
401760017	E012	Other alcoholic dementia	281004	Alzhimer's and dementia''
