prodcodeid,termfromemis,drugsubstancename,bnfchapter,aceinhib
10841000033119,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,2050501,1
10941000033110,Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,2050501,1
11041000033117,Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,2050501,1
11241000033113,Accuretic 10mg/12.5mg tablets (Pfizer Ltd),Hydrochlorothiazide/ Quinapril hydrochloride,2050501,1
11641000033111,Accupro 40mg tablets (Pfizer Ltd),Quinapril hydrochloride,2050501,1
13141000033119,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril/ Hydrochlorothiazide,2050501,1
13241000033114,Accupro 10mg tablets (Pfizer Ltd),Quinapril hydrochloride,2050501,1
13341000033116,Accupro 20mg tablets (Pfizer Ltd),Quinapril hydrochloride,2050501,1
13441000033110,Accupro 5mg tablets (Pfizer Ltd),Quinapril hydrochloride,2050501,1
59141000033113,Amias 16mg tablets (Neon Healthcare Ltd),Candesartan cilexetil,2050502,1
59241000033118,Amias 2mg tablets (Neon Healthcare Ltd),Candesartan cilexetil,2050502,1
59341000033111,Amias 4mg tablets (Neon Healthcare Ltd),Candesartan cilexetil,2050502,1
59441000033117,Amias 8mg tablets (Neon Healthcare Ltd),Candesartan cilexetil,2050502,1
75941000033114,Aprovel 150mg tablets (Sanofi),Irbesartan,2050502,1
76041000033116,Aprovel 300mg tablets (Sanofi),Irbesartan,2050502,1
76141000033117,Aprovel 75mg tablets (Sanofi),Irbesartan,2050502,1
209241000033119,Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril/ Hydrochlorothiazide,,1
209841000033115,Carace 10 Plus tablets (Organon Pharma (UK) Ltd),Hydrochlorothiazide/ Lisinopril,2050501,1
210541000033113,Captopril Tablets 1 mg,,,1
210741000033117,Captopril Tablets 2 mg,,,1
211541000033119,Candesartan 16mg tablets,Candesartan cilexetil,2050502,1
211641000033118,Candesartan 2mg tablets,Candesartan cilexetil,2050502,1
211741000033110,Candesartan 4mg tablets,Candesartan cilexetil,2050502,1
211841000033117,Candesartan 8mg tablets,Candesartan cilexetil,2050502,1
213441000033119,Captopril 12.5mg tablets,Captopril,2050501,1
214141000033113,Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,2050501,1
214241000033118,Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,2050501,1
214341000033111,Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril,2050501,1
214441000033117,Captopril 25mg tablets,Captopril,2050501,1
214541000033116,Captopril 50mg tablets,Captopril,2050501,1
215941000033111,Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Lisinopril,,1
216041000033118,Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Lisinopril,,1
216141000033119,Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Lisinopril,,1
216241000033114,Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Lisinopril,,1
216441000033110,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril/ Hydrochlorothiazide,2050501,1
217041000033116,Carace 20 Plus tablets (Organon Pharma (UK) Ltd),Hydrochlorothiazide/ Lisinopril,2050501,1
258141000033110,Cilazapril 1mg tablets,Cilazapril monohydrate,,1
258241000033115,Cilazapril 2.5mg tablets,Cilazapril monohydrate,,1
258341000033113,Cilazapril Tablets 250 micrograms,,,1
258441000033119,Cilazapril 500microgram tablets,Cilazapril monohydrate,,1
258641000033117,Cilazapril 5mg tablets,Cilazapril monohydrate,,1
370441000033112,Cozaar 25mg tablets (Organon Pharma (UK) Ltd),Losartan potassium,2050502,1
370541000033113,Cozaar 50mg tablets (Organon Pharma (UK) Ltd),Losartan potassium,2050502,1
370841000033110,Cozaar-Comp 50mg/12.5mg tablets (Organon Pharma (UK) Ltd),Hydrochlorothiazide/ Losartan potassium,2050502,1
377541000033114,Coversyl 2mg tablets (Servier Laboratories Ltd),Perindopril erbumine,2050501,1
377641000033110,Coversyl 4mg tablets (Servier Laboratories Ltd),Perindopril erbumine,2050501,1
437641000033118,Diovan 160mg capsules (Novartis Pharmaceuticals UK Ltd),Valsartan,2050502,1
437741000033110,Diovan 40mg capsules (Novartis Pharmaceuticals UK Ltd),Valsartan,2050502,1
437841000033117,Diovan 80mg capsules (Novartis Pharmaceuticals UK Ltd),Valsartan,2050502,1
522641000033110,Enalapril 10mg tablets,Enalapril maleate,2050501,1
522741000033118,Enalapril 20mg tablets,Enalapril maleate,2050501,1
522841000033111,Enalapril 5mg tablets,Enalapril maleate,2050501,1
523541000033115,Enalapril 2.5mg tablets,Enalapril maleate,2050501,1
523741000033111,Enalapril Maleate Titration pack,,,1
523941000033114,Enalapril Maleate Wafers 10 mg,,,1
524041000033111,Enalapril Maleate Wafers 2.5 mg,,,1
524141000033110,Enalapril Maleate Wafers 20 mg,,,1
524241000033115,Enalapril Maleate Wafers 5 mg,,,1
524341000033113,Enalapril Maleate Wafers 10 mg,,,1
524441000033119,Enalapril Maleate Wafers 2.5 mg,,,1
524541000033118,Enalapril Maleate Wafers 20 mg,,,1
524641000033117,Enalapril Maleate Wafers 5 mg,,,1
609141000033111,Fosinopril 10mg tablets,Fosinopril sodium,2050501,1
609241000033116,Fosinopril 20mg tablets,Fosinopril sodium,2050501,1
648341000033112,Gopten 1mg capsules (Abbott Laboratories Ltd),Trandolapril,,1
648441000033118,Gopten 2mg capsules (Abbott Laboratories Ltd),Trandolapril,,1
648541000033117,Gopten 500microgram capsules (Abbott Laboratories Ltd),Trandolapril,,1
769041000033116,Innovace 10mg tablets (Organon Pharma (UK) Ltd),Enalapril maleate,2050501,1
769141000033117,Innovace 2.5mg tablets (Organon Pharma (UK) Ltd),Enalapril maleate,2050501,1
769241000033112,Innovace 20mg tablets (Organon Pharma (UK) Ltd),Enalapril maleate,2050501,1
769341000033119,Innovace 5mg tablets (Organon Pharma (UK) Ltd),Enalapril maleate,2050501,1
770141000033115,Innozide 20mg/12.5mg tablets (Organon Pharma (UK) Ltd),Enalapril maleate/ Hydrochlorothiazide,2050501,1
775441000033117,Irbesartan 150mg tablets,Irbesartan,2050502,1
775541000033116,Irbesartan 300mg tablets,Irbesartan,2050502,1
775641000033115,Irbesartan 75mg tablets,Irbesartan,2050502,1
837841000033110,Lisinopril 10mg tablets,Lisinopril,2050501,1
837941000033119,Lisinopril 2.5mg tablets,Lisinopril,2050501,1
838041000033116,Lisinopril 20mg tablets,Lisinopril,2050501,1
838141000033117,Lisinopril 5mg tablets,Lisinopril,2050501,1
851841000033117,Losartan 25mg tablets,Losartan potassium,2050502,1
851941000033113,Losartan 50mg tablets,Losartan potassium,2050502,1
938041000033113,Moexipril 15mg tablets,Moexipril hydrochloride,2050501,1
938141000033112,Moexipril 7.5mg tablets,Moexipril hydrochloride,2050501,1
