prodcodeid,termfromemis,drugsubstancename,bnfchapter,bblockers
3041000033115,Acebutolol 100mg capsules,Acebutolol hydrochloride,2040000,1
3141000033116,Acebutolol 200mg capsules,Acebutolol hydrochloride,2040000,1
6041000033113,Acebutolol Injection 5 mg/1 ml,,,1
10741000033112,Acebutolol 400mg tablets,Acebutolol hydrochloride,2040000,1
69441000033112,Antipressan 25mg tablets (Teva UK Ltd),Atenolol,,1
70941000033117,Antipressan 100mg tablets (Teva UK Ltd),Atenolol,,1
71041000033110,Antipressan 50mg tablets (Teva UK Ltd),Atenolol,,1
89541000033111,Atenolol 5mg/10ml solution for injection ampoules,Atenolol,2100100,1
90441000033118,Atenolol 25mg/5ml oral solution sugar free,Atenolol,2100100,1
90541000033117,Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol,2040000,1
90641000033116,Atenolol 25mg tablets,Atenolol,2100100,1
90741000033113,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol/ Chlortalidone,2040000,1
91041000033118,Atenolol 100mg tablets,Atenolol,2100100,1
91141000033119,Atenolol 50mg tablets,Atenolol,2100100,1
91841000033113,Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol,2040000,1
92441000033119,Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol/ Chlortalidone,2040000,1
92541000033118,Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol,2040000,1
124241000033112,Bedranol SR 160mg capsules (Sandoz Ltd),Propranolol hydrochloride,2040000,1
124341000033119,Beta-Adalat modified-release capsules (Bayer Plc),Atenolol/ Nifedipine,2040000,1
131141000033116,Betaloc I.V. 5mg/5ml solution for injection ampoules (Recordati Pharmaceuticals Ltd),Metoprolol tartrate,2040000,1
133141000033117,Beta-Prograne 160mg modified-release capsules (Tillomed Laboratories Ltd),Propranolol hydrochloride,2040000,1
143941000033116,Beta-Cardone 200mg tablets (Advanz Pharma),Sotalol hydrochloride,2040000,1
144041000033119,Beta-Cardone 40mg tablets (Focus Pharmaceuticals Ltd),Sotalol hydrochloride,2040000,1
144141000033115,Beta-Cardone 80mg tablets (Focus Pharmaceuticals Ltd),Sotalol hydrochloride,2040000,1
144341000033117,Betaloc 100mg tablets (AstraZeneca UK Ltd),Metoprolol tartrate,,1
