prodcodeid,termfromemis,drugsubstancename,bnfchapter,diuretics
7541000033117,Actinomycin D (With Mannitol) Injection 500 microgram vial,,,1
11241000033113,Accuretic 10mg/12.5mg tablets (Pfizer Ltd),Hydrochlorothiazide/ Quinapril hydrochloride,2050501,1
13141000033119,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril/ Hydrochlorothiazide,2050501,1
40241000033110,Aldactide 25 tablets (Pfizer Ltd),Hydroflumethiazide/ Spironolactone,2020400,1
40341000033117,Aldactide 50 tablets (Pfizer Ltd),Hydroflumethiazide/ Spironolactone,2020400,1
40441000033111,Aldactone 100mg tablets (Pfizer Ltd),Spironolactone,2020300,1
40541000033112,Aldactone 25mg tablets (Pfizer Ltd),Spironolactone,2020300,1
40641000033113,Aldactone 50mg tablets (Pfizer Ltd),Spironolactone,2020300,1
53841000033117,Amiloride 5mg/5ml oral solution sugar free,Amiloride hydrochloride,2020300,1
57141000033118,Amiloride 5mg tablets,Amiloride hydrochloride,2020300,1
57341000033115,Amilmaxco 5mg/50mg tablets (Ashbourne Pharmaceuticals Ltd),Amiloride hydrochloride/ Hydrochlorothiazide,,1
60341000033110,Amil-Co 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd),Amiloride hydrochloride/ Hydrochlorothiazide,2020400,1
74541000033119,Aprinox 2.5mg tablets (Advanz Pharma),Bendroflumethiazide,2020100,1
74641000033118,Aprinox 5mg tablets (Amdipharm Plc),Bendroflumethiazide,2020100,1
90741000033113,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol/ Chlortalidone,2040000,1
92441000033119,Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd),Atenolol/ Chlortalidone,2040000,1
167341000033118,Bumetanide Injection 500 micrograms/ml,,,1
169041000033112,Bumetanide 1mg/5ml oral solution sugar free,Bumetanide,2020200,1
171941000033116,Bumetanide K Tablets,,,1
172341000033112,Burinex A 5mg/1mg tablets (LEO Pharma),Amiloride hydrochloride/ Bumetanide,,1
172441000033118,Bumetanide 1mg tablets,Bumetanide,2020200,1
172541000033117,Bumetanide 5mg tablets,Bumetanide,2020200,1
172741000033113,Burinex 1mg tablets (LEO Pharma),Bumetanide,,1
172841000033115,Burinex 5mg tablets (LEO Pharma),Bumetanide,,1
172941000033111,Burinex K modified-release tablets (LEO Pharma),Bumetanide/ Potassium chloride,,1
209241000033119,Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril/ Hydrochlorothiazide,,1
209841000033115,Carace 10 Plus tablets (Organon Pharma (UK) Ltd),Hydrochlorothiazide/ Lisinopril,2050501,1
216441000033110,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),Captopril/ Hydrochlorothiazide,2050501,1
217041000033116,Carace 20 Plus tablets (Organon Pharma (UK) Ltd),Hydrochlorothiazide/ Lisinopril,2050501,1
234841000033110,Centyl K modified-release tablets (LEO Pharma),Bendroflumethiazide/ Potassium chloride,,1
246241000033116,Chlorothiazide 250mg/5ml oral suspension,Chlorothiazide,,1
247941000033110,Chlorothiazide Tablets 500 mg,,,1
351941000033111,Co-amilozide 5mg/50mg/5ml oral solution,Amiloride hydrochloride/ Hydrochlorothiazide,,1
369141000033118,Co-amilozide 5mg/50mg tablets,Amiloride hydrochloride/ Hydrochlorothiazide,2020400,1
370241000033111,Co-triamterzide 50mg/25mg tablets,Hydrochlorothiazide/ Triamterene,2020400,1
370841000033110,Cozaar-Comp 50mg/12.5mg tablets (Organon Pharma (UK) Ltd),Hydrochlorothiazide/ Losartan potassium,2050502,1
372741000033116,Co-Betaloc tablets (Pfizer Ltd),Hydrochlorothiazide/ Metoprolol tartrate,,1
372841000033114,Co-Betaloc SA tablets (Pfizer Ltd),Hydrochlorothiazide/ Metoprolol tartrate,,1
375441000033118,Corgaretic 40mg tablets (Sanofi-Synthelabo Ltd),Bendroflumethiazide/ Nadolol,,1
375541000033117,Corgaretic 80mg tablets (Sanofi-Synthelabo Ltd),Bendroflumethiazide/ Nadolol,,1
376441000033110,Co-tenidone 50mg/12.5mg tablets,Atenolol/ Chlortalidone,2040000,1
376541000033111,Co-tenidone 100mg/25mg tablets,Atenolol/ Chlortalidone,2040000,1
376641000033112,Co-amilofruse 5mg/40mg tablets,Amiloride hydrochloride/ Furosemide,2020400,1
376741000033115,Co-amilofruse 10mg/80mg tablets,Amiloride hydrochloride/ Furosemide,2020400,1
376841000033113,Co-amilofruse 2.5mg/20mg tablets,Amiloride hydrochloride/ Furosemide,2020400,1
376941000033117,Co-amilozide 2.5mg/25mg tablets,Amiloride hydrochloride/ Hydrochlorothiazide,2020400,1
377041000033116,Co-flumactone 25mg/25mg tablets,Hydroflumethiazide/ Spironolactone,2020400,1
377141000033117,Co-flumactone 50mg/50mg tablets,Hydroflumethiazide/ Spironolactone,2020400,1
377341000033119,Co-prenozide 160mg/0.25mg modified-release tablets,Cyclopenthiazide/ Oxprenolol hydrochloride,,1
