medcodeid	originalreadcode	term	snomedctconceptid	psyco
1452014	1BH0	Delusion of persecution	216004	psycosis
4569010	1BH-1	Delusion	2073000	psycosis
10122017	E13y1	Brief reactive psychosis	5464005	psycosis
15243013	E010	Alcohol withdrawal delirium	8635005	psycosis
15244019	E010-2	Delirium tremens	8635005	psycosis
119579013	E141	Disintegrative psychosis	71961003	psycosis
294662017	E0111	Korsakov's alcoholic psychosis with peripheral neuritis	191471000	psycosis
294673012	E01y	Other alcoholic psychosis	42344001	psycosis
294675017	E01yz	Other alcoholic psychosis NOS	42344001	psycosis
294676016	E01z	Alcoholic psychosis NOS	42344001	psycosis
294687012	E02y0	Drug-induced delirium	191492000	psycosis
294693016	E02z	Drug psychosis NOS	191483003	psycosis
294714016	E03y3	Postpartum psychosis	18260003	psycosis
294721016	E04z	Chronic organic psychosis NOS	191447007	psycosis
294806015	E1104	Single manic episode, severe, with psychosis	191586008	psycosis
294815010	E1114	Recurrent manic episodes, severe, with psychosis	191595000	psycosis
294828015	E1124	Single major depressive episode, severe, with psychosis	191604000	psycosis
294840015	E1134	Recurrent major depressive episodes, severe, with psychosis	191613003	psycosis
294897018	E11z	Affective psychosis	441704009	psycosis
294902017	E11zz	Other affective psychosis NOS	441704009	psycosis
294913019	E12z	Paranoid psychosis	191667009	psycosis
294917018	E130	Reactive depressive psychosis	191676002	psycosis
294919015	E131	Acute hysterical psychosis	191677006	psycosis
294924017	E134	Psychogenic paranoid psychosis	191680007	psycosis
294941015	E141z	Disintegrative psychosis NOS	71961003	psycosis
294944011	E14y1	Borderline psychosis of childhood	191697001	psycosis
295718011	Eu04z	Delirium	2776000	psycosis
296066015	Eu22z	[X]Persistent delusional disorder, unspecified	231487004	psycosis
346897015	E00y-1	Presbyophrenic psychosis	231438001	psycosis
369805011	1BH1	Grandiose delusions	247667002	psycosis
401768012	E121	Chronic paranoid psychosis	268622001	psycosis
401771016	E1z	Non-organic psychosis NOS	191525009	psycosis
401772011	E14z	Child psychosis NOS	191687005	psycosis
401831017	Eu04y	[X]Other delirium	2776000	psycosis
401857019	Eu22y	[X]Other persistent delusional disorders	231487004	psycosis
401859016	Eu233	[X]Other acute predominantly delusional psychotic disorders	231489001	psycosis
401862018	Eu2z	[X]Unspecified nonorganic psychosis	191525009	psycosis
480834016	1BH	Delusions	2073000	psycosis
507053019	E010-1	DTs - delirium tremens	8635005	psycosis
2549129012	225E	O/E - paranoid delusions	416611006	psycosis
2549426013	225F	O/E - delusion of persecution	416890005	psycosis
3515942013	^ESCT1170549	Postpartum psychosis in remission	60401000119104	psycosis
42191000006110	E03y0	Organic delusional syndrome	5510009	psycosis
215841000000114	Eu220	Delusional disorder	48500005	psycosis
215851000000112	Eu220-1	[X]Paranoid psychosis	191667009	psycosis
223601000000119	E11-3	Manic psychosis	231494001	psycosis
223611000000117	E13z	Non-organic psychosis	191525009	psycosis
300411000000110	146H	H/O: psychosis	198991000000103	psycosis
359091000006115	Eu02z-2	[X] Presenile psychosis NOS	268612007	psycosis
359161000006110	Eu02z-5	[X] Senile psychosis NOS	268612007	psycosis
362221000006114	Eu04-3	[X]Acute / subacute infective psychosis	191502008	psycosis
362781000006116	Eu3z-1	[X]Affective psychosis NOS	46206005	psycosis
362981000006119	Eu105-4	[X]Alcoholic psychosis NOS	42344001	psycosis
366551000006116	Eu841-1	[X]Atypical childhood psychosis	231536004	psycosis
367991000006119	Eu23z-1	[X]Brief reactive psychosis NOS	231489001	psycosis
370981000006112	Eu2y-1	[X]Chronic hallucinatory psychosis	480111000000107	psycosis
376271000006119	Eu230-2	[X]Cycloid psychosis	307417003	psycosis
376281000006116	Eu231-2	Cycloid psychosis	307417003	psycosis
376431000006118	Eu04y-1	[X]Delirium of mixed origin	2776000	psycosis
376451000006113	Eu104-1	[X]Delirium tremens, alcohol induced	8635005	psycosis
376461000006110	Eu04	[X]Delirium, not induced by alcohol+other psychoactive subs	111479008	psycosis
376501000006110	Eu22y-1	[X]Delusional dysmorphophobia	231487004	psycosis
377461000006113	Eu843-2	[X]Disintegrative psychosis	35919005	psycosis
379411000006119	Eu452-2	[X]Dysmorphophobia nondelusional	18193002	psycosis
379901000006113	Eu05y-1	[X]Epileptic psychosis NOS	111479008	psycosis
389451000006110	Eu44-4	[X]Hysterical psychosis	44376007	psycosis
389641000006110	Eu24	Induced delusional disorder	61831009	psycosis
389681000006116	Eu840-3	[X]Infantile psychosis	408858002	psycosis
394681000006119	Eu106-1	Korsakoff's psychosis	69482004	psycosis
394691000006116	Eu03-1	[X]Korsakov's psychosis, nonalcoholic	3298001	psycosis
396771000006117	Eu332-3	[X] Manic-depressive psychosis, depressed type without psychotic symptoms	36474008	psycosis
396781000006119	Eu333-2	[X]Manic-depress psychosis,depressed type+psychotic symptoms	765176007	psycosis
396801000006115	Eu31-2	Manic-depressive psychosis	13746004	psycosis
397171000006115	Eu134	[X]Men & beh dis due seds/hypns: withdrwl state wth delirium	91388009	psycosis
397191000006119	Eu184	[X]Men & beh dis vol solvents: withdrawal state wth delirium	74934004	psycosis
397211000006118	Eu104	[X]Men & behav dis due alcohl: withdrawl state with delirium	8635005	psycosis
397221000006114	Eu144	[X]Men & behav dis due cocaine: withdrawl state wth delirium	91388009	psycosis
397231000006112	Eu114	[X]Men & behav dis due opioid: withdrawl state with delirium	91388009	psycosis
397581000006111	Eu125	Cannabis-induced psychosis	943081000000102	psycosis
397621000006111	Eu105	Alcohol-induced psychosis	42344001	psycosis
397641000006116	Eu145	Cocaine-induced psychosis	943101000000108	psycosis
397661000006117	Eu115	Opioid-induced psychosis	943071000000104	psycosis
397691000006113	Eu185	Volatile inhalant-induced psychosis	943151000000109	psycosis
398731000006116	Eu154	[X]Mnt/bh dis oth stims inc caffne: withdr state wt delirium	91388009	psycosis
403961000006113	Eu052	Organic delusional disorder	5510009	psycosis
404041000006111	Eu0z-1	[X]Organic psychosis NOS	111479008	psycosis
419861000006117	Eu22	Persistent delusional disorder	231487004	psycosis
424071000006112	Eu233-2	[X]Psychogenic paranoid psychosis	191680007	psycosis
424281000006115	Eu531-1	[X]Puerperal psychosis NOS	199260001	psycosis
